# fecha: 2026-07-17 02:40:23
# Ts_nominal_s: 0.1 (Push Position 0x04/0x05 ~9.9Hz)
# signo: u_cmd + = ARRIBA (gpitch sube); - = ABAJO
# comando_enviado: 1024 + u_cmd (0x04/0x01, rango 363..1685)
t_s,u_cmd,phase,gpitch
0.6673,0,GOTO,0.0
0.7693,0,GOTO,-0.1
0.8715,0,GOTO,-0.6
0.9733,0,GOTO,-1.4
1.0756,0,GOTO,-2.3
1.1685,0,GOTO,-3.3
1.2706,0,GOTO,-4.3
1.3743,0,GOTO,-5.3
1.4768,0,GOTO,-6.3
1.6696,0,GOTO,-8.4
1.7714,0,GOTO,-9.3
1.8734,0,GOTO,-10.0
2.0702,0,GOTO,-10.9
2.1713,0,GOTO,-11.2
2.2733,0,GOTO,-11.5
2.3757,0,GOTO,-11.7
2.4688,0,GOTO,-11.9
2.5699,0,GOTO,-12.0
2.675,0,GOTO,-12.1
2.7744,0,GOTO,-12.2
2.8765,0,GOTO,-12.3
2.9755,0,GOTO,-12.3
3.0708,0,GOTO,-12.4
3.1727,0,GOTO,-12.5
3.2742,0,GOTO,-12.6
3.3765,0,GOTO,-12.7
3.4685,0,GOTO,-12.8
3.5703,0,GOTO,-12.8
3.6725,0,GOTO,-12.9
3.7744,0,GOTO,-13.0
3.8681,0,GOTO,-13.1
3.9706,0,GOTO,-13.2
4.0723,0,GOTO,-13.3
4.1745,0,GOTO,-13.3
4.2772,0,GOTO,-13.4
4.3688,0,GOTO,-13.5
4.6746,100,STEP+100,-13.7
4.7767,100,STEP+100,-13.7
4.8708,100,STEP+100,-13.7
4.9708,100,STEP+100,-13.7
5.073,100,STEP+100,-13.6
5.1792,100,STEP+100,-13.6
5.2673,100,STEP+100,-13.6
5.3689,100,STEP+100,-13.5
5.4717,100,STEP+100,-13.5
5.5737,100,STEP+100,-13.5
5.6757,100,STEP+100,-13.4
5.7673,100,STEP+100,-13.4
5.8691,100,STEP+100,-13.4
5.9714,100,STEP+100,-13.3
6.0738,100,STEP+100,-13.3
6.1756,100,STEP+100,-13.2
6.2678,100,STEP+100,-13.2
6.3697,100,STEP+100,-13.2
6.4717,100,STEP+100,-13.1
6.5738,100,STEP+100,-13.1
6.6693,100,STEP+100,-13.1
6.7691,100,STEP+100,-13.0
6.8716,100,STEP+100,-13.0
6.9736,100,STEP+100,-12.9
7.0758,100,STEP+100,-12.9
7.1678,100,STEP+100,-12.9
7.2696,100,STEP+100,-12.8
7.4736,100,STEP+100,-12.8
7.5758,100,STEP+100,-12.7
7.6676,100,STEP+100,-12.7
7.7695,100,STEP+100,-12.6
7.8715,100,STEP+100,-12.6
7.9732,100,STEP+100,-12.6
8.076,100,STEP+100,-12.5
8.1672,100,STEP+100,-12.5
8.2689,100,STEP+100,-12.5
8.3712,100,STEP+100,-12.4
8.4732,100,STEP+100,-12.4
8.575,100,STEP+100,-12.3
8.6772,100,STEP+100,-12.3
8.7691,100,STEP+100,-12.3
8.8709,100,STEP+100,-12.2
9.0762,100,STEP+100,-12.2
9.1681,100,STEP+100,-12.1
9.2701,100,STEP+100,-12.1
9.372,100,STEP+100,-12.0
9.4742,100,STEP+100,-12.0
9.5765,100,STEP+100,-12.0
9.6683,100,STEP+100,-11.9
9.7699,100,STEP+100,-11.9
9.8723,100,STEP+100,-11.9
9.9743,100,STEP+100,-11.8
10.0761,100,STEP+100,-11.8
10.1682,100,STEP+100,-11.7
10.27,100,STEP+100,-11.7
10.3719,100,STEP+100,-11.7
10.474,100,STEP+100,-11.6
10.5763,100,STEP+100,-11.6
10.6683,100,STEP+100,-11.6
10.7703,100,STEP+100,-11.5
10.8743,100,STEP+100,-11.5
10.9741,100,STEP+100,-11.4
11.0766,100,STEP+100,-11.4
11.1683,100,STEP+100,-11.4
11.2707,100,STEP+100,-11.3
11.373,100,STEP+100,-11.3
11.4775,100,STEP+100,-11.3
11.5672,100,STEP+100,-11.2
11.669,100,STEP+100,-11.2
11.7713,100,STEP+100,-11.1
11.8732,100,STEP+100,-11.1
11.976,100,STEP+100,-11.1
12.0685,100,STEP+100,-11.0
12.1724,100,STEP+100,-11.0
12.275,100,STEP+100,-11.0
12.3778,100,STEP+100,-10.9
12.4775,100,STEP+100,-10.9
12.5692,100,STEP+100,-10.8
12.9798,-100,STEP-100,-10.7
13.1714,-100,STEP-100,-10.7
13.2734,-100,STEP-100,-10.8
13.3757,-100,STEP-100,-10.8
13.5712,-100,STEP-100,-10.9
13.673,-100,STEP-100,-10.9
13.7736,-100,STEP-100,-10.9
13.8793,-100,STEP-100,-11.0
13.9693,-100,STEP-100,-11.0
14.0717,-100,STEP-100,-11.0
14.1735,-100,STEP-100,-11.1
14.2754,-100,STEP-100,-11.1
14.3776,-100,STEP-100,-11.2
14.4698,-100,STEP-100,-11.2
14.5718,-100,STEP-100,-11.2
14.6738,-100,STEP-100,-11.3
14.7762,-100,STEP-100,-11.3
14.8784,-100,STEP-100,-11.3
14.9705,-100,STEP-100,-11.4
15.0738,-100,STEP-100,-11.4
15.1747,-100,STEP-100,-11.5
15.277,-100,STEP-100,-11.5
