# fecha: 2026-07-16 19:27:34
# modo: VUELO
# fin: plan
# Ts_nominal_s: 0.1 (OSD 0x03/0x43 ~9.9Hz; dt real en la hoja raw)
# signo: u_cmd + = DERECHA = yaw sube
# stick_enviado: 1024 + u_cmd (canal ch3)
# fase_A_niveles: 100,200,300,400,500,660
# fase_A_secs: 3.0
# prbs: 7-bit m-seq, 127 bits, bit=0.30s, bias=0, amp=660
t_s,u_cmd,phase,yaw_deg,yaw_unwrap_deg,height_m,motor_on,volt_mv
0.087,0,SETTLE,9.5,9.5,1.5,1,
0.1882,0,SETTLE,9.5,9.5,1.5,1,
0.2896,0,SETTLE,9.5,9.5,1.5,1,
0.3811,0,SETTLE,9.5,9.5,1.5,1,
0.4824,0,SETTLE,9.5,9.5,1.5,1,
0.5845,0,SETTLE,9.5,9.5,1.5,1,
0.6854,0,SETTLE,9.5,9.5,1.5,1,8003
0.7867,0,SETTLE,9.5,9.5,1.5,1,8003
0.8883,0,SETTLE,9.5,9.5,1.5,1,8003
0.9895,0,SETTLE,9.5,9.5,1.5,1,8003
1.0832,0,SETTLE,9.5,9.5,1.5,1,8003
1.1826,0,SETTLE,9.5,9.5,1.5,1,8003
1.2842,0,SETTLE,9.5,9.5,1.5,1,8003
1.3873,0,SETTLE,9.5,9.5,1.5,1,8003
1.4873,0,SETTLE,9.5,9.5,1.5,1,8003
1.5888,0,SETTLE,9.5,9.5,1.5,1,8003
1.6902,0,SETTLE,9.5,9.5,1.5,1,7994
1.782,0,SETTLE,9.5,9.5,1.5,1,7994
1.8839,0,SETTLE,9.5,9.5,1.5,1,7994
1.9851,0,SETTLE,9.5,9.5,1.5,1,7994
2.0861,0,SETTLE,9.5,9.5,1.5,1,7994
2.1875,0,SETTLE,9.5,9.5,1.5,1,7994
2.2887,0,SETTLE,9.5,9.5,1.5,1,7994
2.3902,0,SETTLE,9.5,9.5,1.5,1,7994
2.4814,0,SETTLE,9.5,9.5,1.5,1,7994
2.6858,0,SETTLE,9.5,9.5,1.5,1,7989
2.8886,0,SETTLE,9.5,9.5,1.5,1,7989
2.9903,0,SETTLE,9.5,9.5,1.5,1,7989
3.0815,100,STEP+100,9.5,9.5,1.5,1,7989
3.1832,100,STEP+100,9.7,9.7,1.5,1,7989
3.2646,100,STEP+100,10.1,10.1,1.5,1,7989
3.3861,100,STEP+100,10.5,10.5,1.5,1,7989
3.5891,100,STEP+100,11.2,11.2,1.5,1,7989
3.6805,100,STEP+100,11.5,11.5,1.5,1,7985
3.7819,100,STEP+100,11.9,11.9,1.5,1,7985
3.8835,100,STEP+100,12.2,12.2,1.5,1,7985
3.9853,100,STEP+100,12.6,12.6,1.5,1,7985
4.0897,100,STEP+100,12.9,12.9,1.5,1,7985
4.1881,100,STEP+100,13.3,13.3,1.5,1,7985
4.2898,100,STEP+100,13.6,13.6,1.5,1,7985
4.3806,100,STEP+100,14.0,14.0,1.5,1,7985
4.4823,100,STEP+100,14.3,14.3,1.5,1,7985
4.5864,100,STEP+100,14.7,14.7,1.5,1,7985
4.686,100,STEP+100,15.0,15.0,1.5,1,7983
4.7878,100,STEP+100,15.4,15.4,1.5,1,7983
4.8894,100,STEP+100,15.7,15.7,1.5,1,7983
4.9808,100,STEP+100,16.1,16.1,1.5,1,7983
5.0724,100,STEP+100,16.4,16.4,1.5,1,7983
5.186,100,STEP+100,16.8,16.8,1.5,1,7983
5.2884,100,STEP+100,17.2,17.2,1.5,1,7983
5.3897,100,STEP+100,17.5,17.5,1.5,1,7983
5.4902,100,STEP+100,17.9,17.9,1.5,1,7983
5.683,100,STEP+100,18.5,18.5,1.5,1,7983
