t_s,setpoint,yaw,u,err,P,I,D,sat,height_m,motor_on
0.192,61.4,61.5,-13.1,-0.1,-12.1,-1.0,0.0,0,1.5,1
0.294,61.4,61.4,6.4,0.0,0.0,-1.0,7.3,0,1.5,1
0.4,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
0.5,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
0.6,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
0.7,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
0.791,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
0.894,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
0.995,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
1.1,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
1.2,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
1.3,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
1.39,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
1.492,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
1.594,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
1.695,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
1.801,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
1.901,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
1.989,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
2.102,61.4,61.4,-1.0,0.0,0.0,-1.0,-0.0,0,1.5,1
2.202,61.4,61.5,-21.4,-0.1,-12.1,-1.9,-7.3,0,1.5,1
2.29,61.4,61.4,5.4,0.0,0.0,-1.9,7.3,0,1.5,1
2.391,61.4,61.4,-1.9,0.0,0.0,-1.9,-0.0,0,1.5,1
2.493,61.4,61.4,-1.9,0.0,0.0,-1.9,-0.0,0,1.5,1
2.595,61.4,61.4,-1.9,0.0,0.0,-1.9,-0.0,0,1.5,1
2.696,61.4,61.4,-1.9,0.0,0.0,-1.9,-0.0,0,1.5,1
2.803,61.4,61.4,-1.9,0.0,0.0,-1.9,-0.0,0,1.5,1
2.902,61.4,61.4,-1.9,0.0,0.0,-1.9,-0.0,0,1.5,1
2.99,61.4,61.4,-1.9,0.0,0.0,-1.9,-0.0,0,1.5,1
